1,9
2,263
3,169
4,321
5,123
6,115
7,112
8,131
9,87
10,264
11,303
12,316
13,309
14,314
15,270
16,279
17,299
18,296
19,253
20,272
21,907
22,418
23,804
24,812
25,501
26,761
27,1002
28,879
29,684
30,564
31,989
32,1010
33,925
34,983
35,776
36,411
37,863
38,518
39,588
40,825
41,878
42,717
43,880
44,806
45,830
46,699
47,641
48,887
49,697
50,884
51,1930
52,1907
53,1772
54,1755
55,2063
56,2289
57,2331
58,1992
59,2068
60,1404
61,1947
62,2374
63,2299
64,2022
65,2617
66,2029
67,1872
68,1561
69,2011
70,1993
71,2167
72,1919
73,2805
74,2232
75,1979
76,2491
77,1506
78,1465
79,2368
80,2372
81,1639
82,2442
83,2487
84,2537
85,3111
86,1690
87,2664
88,2298
89,3116
90,2526
91,2893
92,2481
93,2356
94,2005
95,2405
96,2610
97,3003
98,2561
99,2373
100,2311
101,7762
102,6625
103,8856
104,7308
105,7735
106,7664
107,6578
108,8389
109,8647
110,7468
111,7734
112,7020
113,5789
114,6371
115,6538
116,6463
117,7630
118,7799
119,8061
120,7202
121,8632
122,7989
123,7174
124,8468
125,7927
126,8411
127,6083
128,7822
129,9470
130,8001
131,7891
132,7819
133,5832
134,7598
135,8181
136,9898
137,7935
138,9135
139,6348
140,6299
141,6826
142,5118
143,7973
144,8619
145,7977
146,7176
147,8585
148,5561
149,8165
150,6488
151,1387
152,1116
153,1504
154,1369
155,1512
156,1221
157,1346
158,1274
159,859
160,2183
161,2200
162,2737
163,1294
164,1725
165,2252
166,2154
167,3207
168,2000
169,2631
170,2345
171,2552
172,2972
173,2343
174,2919
175,2215
176,2988
177,2611
178,2681
179,2284
180,2292
181,5665
182,3605
183,7561
184,5371
185,4364
186,3618
187,2644
188,6825
189,7103
190,5957
191,6905
192,7692
193,8526
194,7904
195,8707
196,8089
197,5333
198,6729
199,7543
200,5927
201,8709
202,7475
203,7488
204,8461
205,7623
206,9144
207,7880
208,7937
209,6288
210,8140
211,19948
212,16884
213,20644
214,19447
215,22140
216,20845
217,17709
218,27713
219,22878
220,23486
221,898
222,1301
223,1175
224,1477
225,991
226,984
227,773
228,669
229,837
230,951
231,1220
232,1635
233,1435
234,1769
235,1142
236,1409
237,1839
238,1609
239,1190
240,2136
241,2583
242,3034
243,1449
244,3138
245,2203
246,2356
247,2225
248,1851
249,2376
250,2614
251,3515
252,3309
253,2641
254,2800
255,4948
256,3506
257,3544
258,2947
259,3775
260,3241
261,3447
262,3952
263,3627
264,3217
265,3064
266,3965
267,3629
268,4129
269,4740
270,3376
271,6250
272,7122
273,11961
274,6318
275,5219
276,8907
277,12913
278,9723
279,10436
280,7579
281,8248
282,7646
283,6580
284,5528
285,7712
286,10168
287,11227
288,6513
289,12126
290,7004
291,9861
292,9700
293,10512
294,10235
295,7436
296,3296
297,4974
298,8701
299,10898
300,10231
